stkcd,date,time,open,high,low,close,volume,turnover
4,2005-02-02,13:44:00,6.08,6.08,6.08,6.08,1200.0,7296.0
4,2005-02-02,13:45:00,6.07,6.07,6.07,6.07,3000.0,18210.0
4,2005-02-02,13:47:00,6.06,6.07,6.06,6.07,3000.0,18189.0
4,2005-02-02,13:48:00,6.06,6.06,6.06,6.06,500.0,3030.0
4,2005-02-02,13:49:00,6.06,6.06,6.06,6.06,100.0,606.0
4,2005-02-02,13:51:00,6.06,6.06,6.06,6.06,400.0,2424.0
4,2005-02-02,13:52:00,6.03,6.03,6.03,6.03,6000.0,36273.0
4,2005-02-02,13:54:00,6.07,6.07,6.07,6.07,4600.0,27902.0
4,2005-02-02,13:55:00,6.07,6.07,6.07,6.07,100.0,607.0
4,2005-02-02,13:56:00,6.07,6.07,6.07,6.07,400.0,2428.0
4,2005-02-02,13:57:00,6.08,6.08,6.08,6.08,500.0,3040.0
4,2005-02-02,13:58:00,6.09,6.09,6.08,6.08,3000.0,18260.0
4,2005-02-02,13:59:00,6.09,6.09,6.09,6.09,5000.0,30450.0
4,2005-02-02,14:00:00,6.09,6.09,6.09,6.09,200.0,1218.0
4,2005-02-02,14:01:00,6.1,6.11,6.1,6.11,7200.0,43917.0
4,2005-02-02,14:02:00,6.11,6.12,6.11,6.12,2600.0,15898.0
4,2005-02-02,14:04:00,6.13,6.13,6.13,6.13,2400.0,14710.0
4,2005-02-02,14:06:00,6.13,6.13,6.13,6.13,700.0,4294.0
4,2005-02-02,14:08:00,6.12,6.12,6.12,6.12,200.0,1224.0
4,2005-02-02,14:09:00,6.12,6.12,6.12,6.12,3600.0,22032.0
4,2005-02-02,14:10:00,6.1,6.1,6.1,6.1,535.0,3263.5
4,2005-02-02,14:12:00,6.1,6.1,6.1,6.1,500.0,3050.0
4,2005-02-02,14:13:00,6.12,6.12,6.12,6.12,200.0,1224.0
4,2005-02-02,14:14:00,6.12,6.12,6.12,6.12,5100.0,31212.0
4,2005-02-02,14:15:00,6.12,6.12,6.12,6.12,130.0,795.6000000000931
4,2005-02-02,14:16:00,6.13,6.15,6.13,6.15,5200.0,31912.0
4,2005-02-02,14:17:00,6.15,6.18,6.15,6.18,5000.0,30870.0
4,2005-02-02,14:18:00,6.19,6.19,6.19,6.19,13000.0,80468.0
4,2005-02-02,14:19:00,6.19,6.19,6.19,6.19,700.0,4333.0
4,2005-02-02,14:20:00,6.2,6.2,6.2,6.2,400.0,2480.0
4,2005-02-02,14:21:00,6.2,6.2,6.19,6.2,6700.0,41535.0
4,2005-02-02,14:22:00,6.2,6.2,6.2,6.2,1200.0,7440.0
